id_equip_urbano,id_espacio,ambito,condicion,geografico,tipo,nombre
5723,5850,Urbana,No Aplica,Mercado,No Aplica,Artesanias Ciudadela
5724,5851,Urbana,En Operación,Escuela,Medio Superior,Centro de Estudios Científicos y Tecnológicos 5 Benito Juárez
5725,5852,Urbana,En Operación,Escuela,Primaria,República de Bolivia
5726,5853,Urbana,En Operación,Escuela,Secundaria,Técnica Número 6 Sor Juana Inés de la Cruz
5727,3359,Urbana,No Aplica,Mercado,No Aplica,Juárez
5728,3370,Urbana,En Operación,Centro de Asistencia Médica,Hospital,Médica Londres
5729,7443,Urbana,En Operación,Escuela,Primaria,Las Tres Américas
5730,522,Urbana,En Operación,Escuela,Preescolar,Luis Tijerina Almaguer
5731,5881,Urbana,En Operación,Templo,No Aplica,Parroquia Santísimo Redentor
5732,7508,Urbana,En Operación,Templo,No Aplica,San Bernardo
5733,7509,Urbana,En Operación,Templo,No Aplica,San Agustín
5734,5241,Urbana,En Operación,Templo,No Aplica,Rectoría Nuestra Señora de Lourdes
5735,5882,Urbana,En Operación,Centro de Asistencia Médica,Hospital,Unidad de Medicina Física y Rehabilitación Región Centro IMSS
5736,4765,Urbana,En Operación,Escuela,Primaria,Cristobal Colón
5737,4766,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,Comunitario Doctor Eduardo Liceaga
5738,4767,Urbana,En Operación,Templo,No Aplica,Santísima Trinidad
5739,4768,Urbana,En Operación,Escuela,Primaria,Gabino Barreda
5740,4769,Urbana,En Operación,Templo,No Aplica,Jesús María
5741,4770,Urbana,En Operación,Escuela,Superior,Academia Nacional de San Carlos
5742,4771,Urbana,En Operación,Escuela,Primaria,Licenciado Ponciano Arriaga
5743,4772,Urbana,En Operación,Templo,No Aplica,Santa Inés
5744,7510,Urbana,En Operación,Templo,No Aplica,Catedral Metropolitana Asunción de la Vírgen María
5745,5242,Urbana,En Operación,Templo,No Aplica,San Felipe Neri La Profesa
