id_tiempo,anio,trimestre,mes,semana_mes,semana_anio,dia_semana,dia,hora,minuto
200610099999,2006,4,10,3,41,Lunes,9,99,99
200610109999,2006,4,10,3,41,Martes,10,99,99
200610119999,2006,4,10,3,41,Miércoles,11,99,99
200610129999,2006,4,10,3,41,Jueves,12,99,99
200610139999,2006,4,10,3,41,Viernes,13,99,99
200610149999,2006,4,10,3,41,Sábado,14,99,99
200610159999,2006,4,10,3,41,Domingo,15,99,99
200610169999,2006,4,10,4,42,Lunes,16,99,99
200610179999,2006,4,10,4,42,Martes,17,99,99
200610189999,2006,4,10,4,42,Miércoles,18,99,99
200610199999,2006,4,10,4,42,Jueves,19,99,99
200610209999,2006,4,10,4,42,Viernes,20,99,99
200610219999,2006,4,10,4,42,Sábado,21,99,99
200610229999,2006,4,10,4,42,Domingo,22,99,99
200610239999,2006,4,10,5,43,Lunes,23,99,99
200610249999,2006,4,10,5,43,Martes,24,99,99
200610259999,2006,4,10,5,43,Miércoles,25,99,99
200610269999,2006,4,10,5,43,Jueves,26,99,99
200610279999,2006,4,10,5,43,Viernes,27,99,99
200610289999,2006,4,10,5,43,Sábado,28,99,99
200610299999,2006,4,10,5,43,Domingo,29,99,99
200610309999,2006,4,10,6,44,Lunes,30,99,99
200610319999,2006,4,10,6,44,Martes,31,99,99
200611019999,2006,4,11,1,44,Miércoles,1,99,99
200611029999,2006,4,11,1,44,Jueves,2,99,99
200611039999,2006,4,11,1,44,Viernes,3,99,99
200611049999,2006,4,11,1,44,Sábado,4,99,99
200611059999,2006,4,11,1,44,Domingo,5,99,99
200611069999,2006,4,11,2,45,Lunes,6,99,99
200611079999,2006,4,11,2,45,Martes,7,99,99
200611089999,2006,4,11,2,45,Miércoles,8,99,99
